URL,companysector,companyname,companycode,nsesymbol,bsesymbol
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amfebcon/F03,miscellaneous,amfebcon,F03,,540697.0
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amjumbobags/JB03,miscellaneous,amjumbobags,JB03,AMJUMBO,
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abinfrabuild/I07,infrastructuregeneral,abinfrabuild,I07,ABINFRA,
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/afenterprises/AFE01,miscellaneous,afenterprises,AFE01,,538351.0
https://www.moneycontrol.com/india/stockpricequote/cementproductsbuildingmaterials/ainfrastructure/AI74,cementproductsbuildingmaterials,ainfrastructure,AI74,,539620.0
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/akspintex/AKS01,miscellaneous,akspintex,AKS01,,539300.0
https://www.moneycontrol.com/india/stockpricequote/chemicals/a1acid/AA14,chemicals,a1acid,AA14,,542012.0
https://www.moneycontrol.com/india/stockpricequote/financegeneral/akcapitalservices/AKC01,financegeneral,akcapitalservices,AKC01,,530499.0
https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/a2zinfraengineering/AME02,powertransmissionequipment,a2zinfraengineering,AME02,A2ZINFRA,533292.0
https://www.moneycontrol.com/india/stockpricequote/aaplus/aaplustradelink/APT03,aaplus,aaplustradelink,APT03,,543319.0
https://www.moneycontrol.com/india/stockpricequote/aaa/aaatechnologies/ATL,aaa,aaatechnologies,ATL,AAATECH,543671.0
https://www.moneycontrol.com/india/stockpricequote/financegeneral/aadhaarventuresindia/PI37,financegeneral,aadhaarventuresindia,PI37,,531611.0
https://www.moneycontrol.com/india/stockpricequote/plastics/aadiindustries/AI63,plastics,aadiindustries,AI63,,530027.0
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/aagamcapital/PC18,financeleasinghirepurchase,aagamcapital,PC18,,531866.0
https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/aakashexplorationservices/AES01,engineeringheavy,aakashexplorationservices,AES01,AAKASH,
https://www.moneycontrol.com/india/stockpricequote/machinetools/aamcoltools/AT01,machinetools,aamcoltools,AT01,,505212.0
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/aanandalakshmispinningmills/ALS,textilesspinningcottonblended,aanandalakshmispinningmills,ALS,,539096.0
https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/aanchalispat/AI36,steelspongeiron,aanchalispat,AI36,,538812.0
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/aarcommercialcompany/AAR,textilesgeneral,aarcommercialcompany,AAR,,539632.0
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aareydrugspharmaceuticals/ADP,pharmaceuticals,aareydrugspharmaceuticals,ADP,,524412.0
https://www.moneycontrol.com/india/stockpricequote/financegeneral/aarnavfashions/KS18,financegeneral,aarnavfashions,KS18,,539562.0
https://www.moneycontrol.com/india/stockpricequote/aaronindustrie/aaronindustries/AI79,aaronindustrie,aaronindustries,AI79,AARON,
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aartechsolonics/AS27,miscellaneous,aartechsolonics,AS27,,542580.0
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aartidrugs/AD,pharmaceuticals,aartidrugs,AD,AARTIDRUGS,524348.0
https://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45,chemicals,aartiindustries,AI45,AARTIIND,524208.0
https://www.moneycontrol.com/india/stockpricequote/chemicals/aartisurfactantslimited/ASL08,chemicals,aartisurfactantslimited,ASL08,AARTISURF,543210.0
